kanji,hiragana/katakana,persian,english
発表,はっぴょう,اعلام کردن,
発布,はっぷ,اعلامیه,
髪型,かみがた,مدل مو,
罰金,ばっきん,جریمه نقدی,fine
抜歯,ばっし,کشیدن دندان,
伴侶,はんりょ,همسر,
判断,はんだん,ارزیابی / قضاوت,
判定,はんてい,قضاوت یا داوری,"judgment,decision"
判例,はんれい,سابقه,
半額,はんがく,نصف قیمت,
半径,はんけい,شعاع,
半端ない,はんぱない,ناقص,
半島,はんとう,شبه جزیره,
半導体チップ,はんどうたいちっぷ,تراشه نیمه هادی,
半導体メモリ,はんどうたいメモリ,حافظه نیمه رسانا / فلش / مموری,
半分,はんぶん,نصف ,
反省,はんせい,توصیه,
反対,はんたい,مخالفت,
反対方向,はんたいほうこう,جهت مخالف,
反復,はんぷく,تکرار,While
反復処理,はんぷくしょり,فرآیند تکرار,
汎用的,はんようてき,هدف کلی,
犯す,おかす,مرتکب شدن,
犯罪を犯す,はんざいをおかす,ارتکاب جرم,
犯人が捕まる,はんにんがつかまる,مقصر دستگیر شده است,
繁忙期,はんぼうき,فصل شلوغ,
販売,はんばい,فروختن چیزی,
範囲外,はんいがい,خارج از محدوده,
挽,ひき,آسیاب کردن,
挽肉,ひきにく,گوشت چرخکرده,
晩ご飯,ばんごはん,غذای شب,
番号,ばんごう,شماره,
番組,ばんぐみ,برنامه,
彼,かれ,او,
悲しい,かなしい,غم انگیز,
扉,とびら,در خانه,
比べる,くらべる,مقایسه,compare
比較,ひかく,مقایسه کردن,
比較的綺麗,ひかくてききれい,نسبتا تمیز,
比率で,ひりつで,به نسبت,
疲れる,つかれる,خسته شدن,
疲労がたまる,ひろうがたまる,من خسته شدم,
疲労が回復する,ひろうがかいふくする,خستگی ام رو رفع کرد,
皮肉な,ひにくな,کنایه آمیز,
皮膚,ひふ,پوست,skin
皮膚につける薬,ひふにつけるくすり,داروهای اعمال شده روی پوست,
秘めた,ひめた,پنهان شده است,
秘密,ひみつ,راز ها / اسرار,
被害,ひがい,خسارت,
費,ひ,هزینه,
費用,ひよう,هزینه ها,
費用は,ひようは,هزینه ها,
非常に,ひじょうに,"بسیار بالا
خیلی زیاد",
非売品です,ひばいひんです,برای فروش نیست,
非表示,ひひょうじ,"پنهان ، مخفی",hidden
飛ばして,とばして,از آن میگذره,
飛ばす,とばす,پاس دادن,
飛び込んだ,とびこんだ,پرید داخل,
飛行機,ひこうき,هواپیما,
飛行場,ひこうじょう,باند فرود هواپیما,
備えた,そなえた,آمادگی,
備考,びこう,"یادداشت ها ، اظهارات",
微分,びぶん,دیفرانسیل,
眉毛,まゆげ,ابرو,
美しい,うつくしい,زیبا,
美女,びじょ,زن زیبا,
美人,びじん,فرد زیبا,
美品,びひん,محصولات زیبایی,
美味しい,おいしい,خوشمزه,
美容,びよう,زیبایی,beauty
鼻,はな,بینی,
髭,ひげ,ریش و سیبیل,
膝,ひざ,زانو,
必ず,かならず,مسلماً,
必ずしも,かならずしも,لزوما,not necessarily
必着,ひっちゃく,باید برسد,
必要,ひつよう,نیاز,
必要分,ひつようぶん,قسمت مورد نیاز,
筆,ふで,قلم مو,
筆記,ひっき,کتبی,
筆記試験,ひっきしけん,آزمون کتبی,
紐,ひも,زنجیر طناب,
百合,ゆり,گل زنبق,
標高,ひょうこう,ارتفاع از سطح دریا,
標準化,ひょうじゅんか,استاندارد سازی,
標準語,ひょうじゅんご,زبان استاندارد,
標準生物,ひょうじゅんせいぶつ,معاملات آتی,
標準偏差,ひょうじゅんへんさ,انحراف معیار,
標本空間,ひょうほんくうかん,فضای نمونه,
氷,こおり,یخ,
氷水,こうりみず,آب یخ,
表,ひょう,جدول,
表引き,ひょうびき,ایندکس,index
表現,ひょうげん,بیان,
表情,ひょうじょう,حالت چهره,
表面,ひょうめん,سطح,surface
表面張力,ひょうめんちょうりょく,کشش سطحی,
評論家,ひょうろんか,منتقد,
病院,びょういん,بیمارستان,
病気,びょうき,مریض,sick
秒,びょう,ثانیه,
品物,しなもの,محصولات,
品名,ひんめい,نام محصول,
貧乏,びんぼう,فقیر,
貧乏な人,びんぼうなひと,بدبخت,
瓶,びん,بطری,
不安,ふあん,اضطراب,
不安な,ふあんな,مظطرب,
不安感,ふあんかん,احساس اضطراب,
不可欠です,ふかけつです,ضروری است,
不快指数,ふかいしすう,شاخص ناراحتی,
不具合,ふぐあい,"ایراد ، نقص",defect
不合格,ふごうかく,رد شدن در امتحان,
不在着信,ふざいちゃくしん,تماس از دست رفته,
不使用,ふしよう,استفاده نشده,
不思議,ふしぎ,تعجب کردن,wonder
不思議なポケット,ふしぎなぽけっと,جیب مرموز,
不思議ボケット,ふしぎぼけっと,جعبه شگفت انگیز,
不死,ふし,جاودانگی,
不自由な人,ふじゆうなひと,فرد فلج,
不足,ふそく,کمبود,
不動産,ふどうさん,مشاور املاک,
不得意,ふとくい,خوب نبودن در,
不発揮性,ふはっきせい,عدم عملکرد,
不必要,ふひつよう,بی نیاز,
不変,ふへん,بدون تغییر,
不便,ふべん,نامناسب,
不満,ふまんな,نارضایتی,
不要,ふよう,نیازی نیست,
不利,ふり,نامطلوب,
付き合い,つきあい,همراهی - مصاحبت,
付き合う,つきあう,قرار ملاقات گذاشتن,
付き合っている,つきあっている,دارم قرار میزارم,
付け,つけ,پیوست شده است,
付加製造,ふかぜいぞう,تولید افزودنی,additive manufacturing
付属品,ふぞくひん,تجهیزات جانبی,
付与する,ふよ,اعطا کردن,
夫,おっと,شوهر,
夫妻,ふさい,زن و شوهر,
夫婦間,ふうふかん,بین زن و شوهر,
夫婦喧嘩,ふうふけんか,دعوای زن و شوهر,
婦人の服,ふじんのふく,لباس های زنانه,
布巾,ふきん,حوله خشک کن,
布製,ぬのせい,محصول پارچه ای,
布団,ふとん,تشک,
布団カバー,ふとんかばー,روکش لحاف,
布団代,ふとんだい,هزینه فوتون,
怖い,こわい,ترسیده,
扶養控除等,ふようこうじょとう,کسر وابستگی و غیره,
敷き詰める,しきつめる,"فرش کردن ، پوشاندن",to cover
敷く,しく,قرار دادن,
普段,ふだん,به طور معمول,
普段から,ふだんから,"به طور معمول ، همیشه",as a routine
浮く,うく,شناور,
浮気女,うわきおんな,زن خیانت کار,
父親,ちちおや,پدرم (محترمانه,
符号,ふごう,نت (موسیقی),
腐る,くさる,فاسد شدن,
負け犬の遠吠え,まけいぬのとうぼえ,زوزه بازنده,
負の数,ふのかず,عدد منفی,
侮る,あなどる,دست کم گرفتن,
侮辱,ぶじょく,توهین,
武器,ぶき,سلاح,
舞う,まう,رقصیدن,
部屋,へや,اتاق,
部屋番号,へやばんごう,شماره اتاق,
部下,ぶか,تابع (دستور),
部首,ぶしゅ,رادیکال کانجی,
部長,ぶちょう,رئیس,
部品切り,ぶひんきり,حذف قطعات,
部分,ぶぶん,بخشی,
部分否定,ぶぶんひてい,انکار جزئی,
封筒,ふうとう,پاكت نامه,
風がさっと吹いた,かぜがさっとふいた,باد به سرعت وزید,
風が重々吹いた,かぜがじゅうじゅうふいた,باد به شدت می وزید,
風が飄々吹いた,かぜがひょうひょうふいた,باد به آرامی می وزید,
風車,かざぐるま,اسیاب بادی,
風邪,かぜ,سرما خوردگی,
副社長,ふくしゃちょう,معاون رئیس جمهور,vice president
副食,ふくしょく,ظروف جانبی,
復習,ふくしゅう,مرور,
﻿幅6㎝,はば６CM,عرض ۶ سانت,
幅広く,はばひろく,طیف گسترده ,
幅広く活躍中,はばひろくかつやくちゅう,به طور گسترده فعال است,
服,ふく,لباس,
服装,ふくそう,تن پوش,
福祉専門学校,ふくしせんもんがっこう,هنرستان فنی نگهداری از سالمندان,
福利厚生,ふくりこうせい,مزایا,
福利厚生費,ふくりこうせいひ,هزینه رفاهی,
腹,はら,شکم,
腹立つ,はらだつ,خشمگین شدن,
複雑,ふくざつ,پیچیده,
複写,ふくしゃ,کپی کردن,
複製,ふくせい,تکثیر شده,short cut
複製する,ふくせいする,تکرار,
覆う,おおう,پوشش,
覆面,ふくめん,نقاب زده,
払込票,はらいこみひょう,فیش پرداخت,
沸かす,わかす,جوشاندن,
沸騰させる,ふっとうさせる,جوش آوردن,
沸騰する,ふっとうする,جوشیدن,
仏教,ぶっきょう,بودیسم,
物音,ものうと,صدای چیزی,
"物価が下がる
上がる","ふっかが下がる
・上がる","هزینه زندگی بالا یا 
پایین میره",
物資,ぶっし,تدارکات,
物事,ものごと,چیز ها,
物置,ものおき,انباری,
物理エンジン,ぶつりエンジン,موتور فیزیک,
物理学,ぶつりがく,فیزیک,
物理的に,ぶつりてきに,از نظر فیزیکی,
分かってる。,わかってる。,میدانم.,
分かりました,わかりました,فهمیدم,
分けて,わけて,جدا کردن,
分ける,わける,جدا از هم,
分割,ぶんわり,"تقسیم ، تفکیک","division , split"
分割納入可,"ぶんかつ
のうにゅうか","امکان پرداخت 
اقساطی",
分割払いをする,ぶんかつばらい,قسط بندی کردن,
分岐,ぶんき,شاخه,branch
分散,ぶんさん,پراکندگی,
分析,ぶんせき,تجزیه و تحلیل,
分納,ぶんのう,پرداخت اقساطی,
分納払い,ぶんのうばらい,پرداخت اقساطی,
分野で,。。。ぶんやで,در زمینه ...,
分量,ぶんりょう,"میزان ، وزن",
分類する,ぶんるいする,طبقه بندی,classify
噴火する,ふんかする,انفجار آتشفشانی,erupt
噴霧する,ふんむする,"افشانه، اسپری",
粉が,こなが,پودر,
粉末洗剤,ふんまつせんざい,پودر شوینده,
粉薬,こなぐすり,داروی پودری,
紛争解決,"ふんそう
かいけつ",حل اختلاف,
雰囲気,ふんいき,جو,
文,ぶん,جمله,
文化,ぶんか,فرهنگ,
文化遺産,ぶんかいさん,میراث فرهنگی,
文化交流,ぶんかこうりゅう,تبادل فرهنگی,
文句,もんく,شکایت,
文句を言う,もんくをいう,شاکی بودن,to complain
文芸,ぶんげい,ادبیات,
文字,もじ,حرف,
文部科学省,もんぶかがくしょう,وزارت آموزش و پرورش,
文法,ぶんぽう,دستور زبان,
文房具,ぶんぼうぐ,لوازم التحریر,
文明開花,ぶんめいかいか,تمدن و روشنگری,
平らにする,たいらにする,آن را صاف کنید,
平らに盛る,たいらにもる,آن را صاف پهن کنید,
平均,へいき,میانگین,
平均点数,へいきんてんすう,میانگین امتیاز,
平素より,へいそより,به طور معمول,
平日,へいじつ,روزهای کاری,weekday
平和,へいわ,صلح,
柄,がら,طرح روی چیزی,
並ぶ,ならぶ,به صف شدن,
並べ替え,ならべがえ,مرتب سازی,
並盛り,なみざかり,اندازه متوسط,
並木,なみき,درختان چیده شده,
並木道,なみきみち,خیابان پر درخت,
閉じる,とじる,بستن (چیزای کوچک,
閉店,へいてん,بسته شدن فروشگاه,closing of a store
別の,べつの,یکی دیگه,
別れる,わかれる,به هم زدن رابطه,
別珍,べっちん,مخملی,
別途,べっと,بصورت جداگانه,
別途基準,べっときじゅん,استاندارد جداگانه,
別々,べつべつ,جدا جدا,
変える,かえる,تعویض,
変わります。,かわります。,عوض شدن.,
変わる,かわる,تغییر کردن,
変化する,へんか,تغییر یافتن,
変換,へんかん,تبدیل کردن,
変更,へんこう,تغییر دادن,
変数,へんすう,متغیر,
変態,へんたい,دگرگونی,
変態の人,へんたいのひと,فرد منحرف,
変動,へんどう,نوسان,
片方,かたほう,یک طرف,
辺,あたり,سمت,
辺り,あたり,اطراف,around
返済する,へんさい,بازپرداخت,
返事,へんじ,پاسخ,
便り,たより,اخبار,
便利,べんり,راحت,
便利な,べんりな,راحت,
勉学費,べんがくひ,هزینه های تحصیل,
勉強,べんきょう,مطالعه,
勉強会,べんきょうかい,جلسه مطالعه,
保育園,ほいくえん,پیش‌دبستانی,
保育所,ほいくじょ,محل نگهداری از کودک,
保管する,ほかん,نگه داشتن پیش خود,
保険,ほけん,بیمه,
保護,ほご,حفاظت,
保護者名,ほごしゃめい,اسم مادر یا پدر,
保護者様,ほごしゃさま,ولی محترم,dear guardian
保持する,ほじする,"حفظ کردن ، نگه داشتن",maintain T preserve
保証会社,ほしょうかいしゃ,شرکت گارانتی,
保証期間,ほしょうきかん,دوره ضمانت,
保証人,ほしょうにん,ضامن,
保存,ほぞん,نگهداری ,
保存食,ほぞんしょく,مواد غذایی نگهداری شده,
保有する,ほゆう,در اختیار داشتن,
保留する,ほりゅうする,"معلق کردن ، رزرو کردن برای بعد","pending ,on hold"
舗装,ほそう,آسفالت کردن,
捕まえる,つかまえる,گرفتن (پرنده),
捕まる,つかまる,"گرفتار شدن
دستگیر شدن",
捕手,ほしゅ,شکارچی,
歩く,あるく,پیاده روی,
歩道橋,ほどうきょう,پل عابر پیاده,
補う,おぎなう,جبران کردن,
補助記憶装置,ほじょきおくそうち,حافظه ذخیره سازی دائمی,
補助金,ほじょきん,یارانه,
補足,ほそく,مکمل,
補足事項,ほそくじこう,اطلاعات تکمیلی,
募集,ぼしゅう,استخدام,
募集する,ぼしゅうする,"جذب کردن ، استخدام کردن",
募集中。,ぼしゅうちゅう。,استخدام کردن.,
募集中です,ぼしゅうちゅうです,در حال جذب نیرو هستیم,
募集要項,ぼしゅうようこう,الزامات استخدام,
暮らす,くらす,زندگی کردن,
母国,ぼこく,کشور خود,
母国最終学校,"ぼこくさい
しゅうがっこう",آخرین مدرسه کشور خود,
母親,ははおや,مادرم (محترمانه,
包む,くるむ,بسته بندی کردن,
包帯を巻く,ほうたいをまく,بانداژ پیچیدن,
包丁,ほうちょう,چاقوی آشپزی,
呆れる,あきれる,"مات و مبهوت ، شگفت زده شدن",to be appalled/to surge
呆気だ,あっけだ,من مات و مبهوت هستم,
報告する,ほうこく,گزارش کردن,
報酬,ほうしゅう,پاداش,
宝,たから,گنج,
宝石,ほうせき,جواهر,
抱きしめる,だきしめる,بغل کردن,
抱き合う,だきあう,در آغوش گرفتن ,
抱っこする,だっこする,در بازو حمل کنید,
放ります,ほうります,رها کردن,
放課後に,ほうかごに,بعد از مدرسه,
放棄する,ほうき,رها کردن,
放題,ほうだい,نامحدود,
放置,ほうち,"به حال خودش
گذاشتن",
放屁,ほうひ,گوز,
方,かた,شخص,
方位磁針,ほういじしん,سوزن قطب نما,
方向,ほうこう,جهت,
方向音痴,ほうこうおんち,فقدان حس جهت گیری,
方程式,ほうていしき,معادله,
方必見,とくかたひっけん,حتما ببینید,
方法,ほうほう,راه و روش,
法人,ほうじん,شرکت,
法務省,ほうむしょう,وزارت دادگستری,
法務大臣告示,"ほうむだい
じんこくじ",معرفی وزارت دادگستری,
法律,ほうりつ,قانون,
砲手,ほうしゅ,توپچی,
縫う,ぬう,دوختن با دست,
褒める,ほめる,ستایش / تشویق,
訪れる,おとずれる,بازدید کنید,
訪問,ほうもん,بازدید,
豊富,ほうふ,فراوانی,
豊富なライブラリ,ほうふなライブラリ,کتابخانه غنی,
豊富な資源,ほうふなしげん,منابع فراوان,
飽きる,あきる,"دلت رو بزنه ، خسته بشی از چیزی",get bored with
乏しくなる,とぼしくなる,کمیاب شدن,
忘れる,わすれる,فراموش کردن,
忘れ物,わすれもの,مورد گم شده,
忙しい,いそがしい,پر مشغله,
暴れる,あばれる,داد و بیداد,
暴飲暴食,ぼういんぼうしょく,زیاده روی در نوشیدن,
棒,ぼう,میله نمودار,
棒状,ぼうじょう,میله ای شکل,
膨らみます,ふくらみます,باد کردن,
貿易,ぼうえき,تجارت,
防ぐ,ふせぐ,جلوگیری کردن,to prevent
防止する,ぼうし,برای جلوگیری از,
防犯シャッター,"ぼうはん
シャッター",کرکره امنیتی,
吠える犬,ほえるいぬ,پارس سگ,
吠える癖,ほえるくせ,عادت پارس کردن,
頬,ほほ,گونه,
僕,ぼく,من,
牧場主,ぼくじょうぬし,دامدار,
本,ほん,کتاب,
本気,ほんき,حس واقعی,
本校,ほんこう,مدرسه اصلی,
本校指定用紙,"ほんこう
していようし",فرم تعیین شده مدرسه ما,
本国,ほんごく,کشور خود,
本州,ほんしゅう,جزیره هونشو,
本当,ほんとう,واقعاً,
本日,ほんじつ,امروز,
本日休業,ほんじつきゅうぎょう,امروز بسته است,
本物,ほんもの,واقعی,
本論文,ほんろんぶん,مقاله,
凡例,はんれい,راهنمای استفاده,
盆踊り,ぼんおどり,رقص درخیابان,
磨く,みがく,"زدن(مسواک،واکس)",
魔法,まほう,شعبده بازي,
麻婆,あさばば,ماپو,
埋め込む,うめこむ,جاسازی کنید,
埋め立て,うめたて,دفن زباله,
枚,まい,ورق,
毎月。,まいつき。,ماهانه,
毎日,まいにち,هرروز,
枕,まくら,بالش,
又,また,یا,
末,すえ,آخری,
末っ子,すえっこ,بچه آخر,
末経験,すえけいけん,آخرین تجربه,
万年筆,まんねんひつ,قلم خودنویس,
万能ネギ,まんのうねぎ,پیازچه کوچک,
万里の長城,ばんりのちょうじょう,دیوار بزرگ چین,
満（車）,まん,پر,
満たす,みたす,برآورده شدن / رفع شدن / تحقق یافتن,
満足,まんぞく,رضایت داشتن,
満了日,まんりょうび,زمان اتمام,
蔓延する,まんえんする,گسترش,
味が薄いです,あじがうすいです,طعم ضعیف است,
味わう,あじわう,مزه کنید,
味加減,あじかげん,چاشنی,seasoning
味見,あじみ,چشیدن,
味付けする,あじつけ,چاشنی,seasoning
未経験,みけいけん,بی تجربه,
未公表,みこうひょう,منتشر نشده,
未再生,みさいせい,پخش نشده,
未使用,みしよう,استفاده نشده,
未定です,みていです,تصمیم گیری نشده,
未発表,みはっぴょう,منتشر نشده,
未満,みまん,کمتر از,
未来,みらい,آینده دور,
魅力,みりょく,"افسون ، جذب کننده دیگران ",
密度,みつど,تراکم,dencity
妙な,みょうな,عجیب,
民族,みんぞく,مردم,
眠い,ねむい,خوابالو,
夢,ゆめ,رویا,
夢中,むちゅう,غرق چیزی شدن,
無い,ない,نبود,
無くす,なくす,گم کردن,
無意志動詞,むいしどうし,افعال غیر ارادی,
無意識,むいしき,ناخودآگاه,
無遠慮,ぶえんりゅ,بی ملاحظه,
無害,むがい,بی ضرر,
無関係,むかんけい,غیر مرتبط,
無関心,むかんしん,بی تفاوتی,
無限ループ,むげんループ,حلقه بی نهایت,
無効,むこう,بی اعتبار شدن باطل شدن,
無口な,むくちな,کم حرف,
無視する,むしする,چشم پوشی,
無資格,むしかく,فاقد صلاحیت,
無事,ぶじ,"بی خطر ، امن",safe
無事に,ぶじに,بدون خطر,
無常,むじょう,ناپایداری,
無人の,むじんの,بدون مراقبت,unmanned
無線,むせん,بیسیم,wireless
無線LAN,むせんLAN,شبکه بیسیم,wireless
無断,むだん,بدون اجازه,
無地,むじ,طرح ساده,
無用,むよう,بلا استفاده,
無理,むり,ناممکن,
無理に帰る,むりにかえる,به زور تغییر میدم,
無料,むりょう,رایگان,
矛,ほこ,نیزه,
矛盾する,むじゅんする,تناقض دارند,
娘,むすめ,دخترم,
名画,めいが,شاهکار,
名義,めいぎ,نام,
名札をつける,なふだをつける,یک برچسب نام قرار دهید,
名字,みょうじ,نام خانوادگی,last name
名称,めいしょう,نام شغل,
名前,なまえ,اسمتان را اضافه کنید,
命,いのち,جان,
命を粗末にする,いのちをそまつにする,هدر دادن زندگی,
命令,めいれい,دستور,
明くる,あくる, بعدش,next
明くる日,あくるひ,روز بعدش,next day
明けたち,あけたち,سپیده دم,
明け方,あけがた,سپیده دم,dawn
明らかな,あきらかな,"آشکار ، معلوم ، روشنه",obvious
明確,めいかく,"به وضوح
بصورت شفاف
به روشنی",
明確な,めいかくな,روشن,
明確に,めいかくに,به صراحت,
明明後日,しあさって,پس ته فردا,
迷う,まよう,گم کردن راه,
迷子,まいご,بچه گمشده,
迷惑な,めいわくな,مزاحم,
銘柄,めいがら,نام تجاری,
鳴る,なる,زدن,
滅びる,ほろびる,از بین رفتن,
免許証,めんきょしょう,مجوز,
免除,めんじょ,"صرف نظر کردن
معاف شدن از چیزی",
面積,めんせき,مساحت /متراژ,
面接,めんせつ,مصاحبه,
面接官,めんせつかん,مصاحبه کننده,
面談,めんだん,مشورت کردن,
面談する,めんだんする,مصاحبه داشتن,
面倒くさい,めんどうくさい,آزاردهنده,
面白い,おもしろい,جالب,
面目が立つ,めんぼくがたつ,چهره خود را برجسته کنید,
模擬試験,もぎしけん,امتحان تمرینی,
猛勉強,もうべんきょう,مطالعه زیاد,
網棚,あみだな,دندانه دار کردن,
儲かる,もうかる,کسب سود,
木,き,درخت,
木彫り,きぼり,کنده کاری چوب,
黙る,だまる,ساکت بودن,be quiet
目が覚めました,めがさめました,من از خواب بيدار شدم,
目が飛び出る,めがとびでる,چشمم از حدقه در اومد,
目をやる,めをやる,نگاه کردن به چیزی,
目安と,めやすと,به عنوان یک راهنما,
目覚まし時計,めざましとけい,ساعت زنگدار,
目指す,めざす,هدف برای چیزی,to aim for
目的,もくてき,هدف,
目的地,もくてきち,مقصد (بسته),
目標,もくひょう,اهداف,
目立つ,めだつ,خودنمایی /برجسته,
目立った傷,めだったきず,خط و خش,
目力,めぢから,قدرت بینایی,
戻り値,もどりち,مقدار برگردانده شده,return value
戻る,もどる,برگرداندن,return
問い,とい,سوال,
問い合わせ,といあわせ,"استعلام کردن
جویا شدن",
問い合わせ殺到しいるため,といあわせさっとうしいるため,با توجه به هجوم سوالات,
問題を解く,もんだいをとく,مشکل را حل کند,
門,もん,دروازه,
夜明け前,よあけまえ,قبل از سحر,
野球,やきゅう,بیسبال,
野球場,やきゅうじょう,استادیوم بیسبال,
野原で,のはらで,در زمینه,
野菜,やさい,سبزیجات,
矢印,やじるし,فلش,
役に立つ,やくにたつ,مفید,
役割り,やくわり,تقسیم کار,
役所,やくしょ,دفتر شهرداری,city office
役職,やくしょく,پست,
役職名,やくしょくめい,عنوان شغلی,
役人,やくにん,کارمند رسمی,
役目,やくめ,"وظیفه ، نقش",duty
役立つ,やくだつ,مفید بودن,
約束,やくそく,قرار / قول / وعده,promise
約束する,やくそくする,رزرو کردن,make an appointment
約束を破る,やくそくをやぶる,عهد شکستن,to break a promise
薬,くすり,دارو,medicine
薬が効く,やくがきく,اثر کردن دارو,
薬価,やっか,قیمت دارو,
薬局,やっきょく,داروخانه,pharmacy
訳す,やくす,تغییر زبان,
油,あぶら,روغن,
油をひく,あぶらをひく,روغن بمالید,
輸出,ゆしゅつ,صادرات,
輸入,ゆにゅう,واردات,
唯ー,ゆい,"تنها،فقط","only,solely"
優しい,やさしい,دلسوز,
優秀,ゆうしゅう,عالی,
優勝,ゆうしょう,پیروزی,Victory
優勝する,ゆうしょう,قهرمان شدن,
優先に譲りします。,ゆうせんにゆずりします,"ترجیح میدهم ، الویت میدهم",I will prioritize
優先度,ゆうせんど,اولویت,prioritize
優良な,ゆうりょうな,عالی,
勇気,ゆうき,شجاعت,courage
勇者,ゆうしゃ,قهرمان ,hero
友情,ゆうじょう,دوستی,
友達,ともだち,دوست,
幽霊,ゆうれい,روح,ghost
悠さん,ゆうさん,آقا یا خانم یو,
有害,ゆうがい,زیان آور,
有効,ゆうこう,اعتبار,
有毒,ゆうどく,سمی,toxic
有名人,ゆうめいじん,فرد معروف,
有利な,ゆうりな,سودمند / با صرفه,
有料,ゆうりょう,پرداخت شده,
有料です,ゆうりょうです,هزینه دارد,
柚子風西,ゆずふうにし,سبک یوزو,
誘い,さそい,دعوت,
誘います,さそいます,دعوت,
誘う,さそう,دعوت,
遊び,あそび,گردش,
遊ぶ,あそぶ,گردش تفریح,
遊園地,ゆうえんち,"سرزمین بازی 
وسایل سوارشدنی داره",
遊牧民,ゆうぼくみん,عشایر,
郵送する,ゆうそう,پست کردن,
郵便為替,ゆうびんがわせ,حواله پستی,
郵便局,ゆうびんきょく,اداره پست,
融合された,ゆうごうされた,"به هم جوش خورده ، متصل شده",fused together
夕刊,ゆうかん,روزنامه عصر,
夕食,ゆうしょく,شام,
夕方,ゆうがた,عصر,
予算,よさん,بودجه,
予算の計画,"よさんの
けいかく",برنامه ریزی بودجه,
予想,よそう,انتظار شخصی نسبت به چیزی　,
予測,よそく,پیش بینی,predict
予定,よてい,برنامه,
予定を立てる,よていをたてる,ایجاد یک طرح,
予備,よび,یدکی,
予備校,よびこう,کلاس تقویتی,
予備調査,よびちょうさ,تحقیقات اولیه,preliminary investigation
予報,よほう,پیش بینی,
予防,よぼう,پیشگیری,
予防（する）,よぼう,جلوگیری کردن ,
予防策,よぼうさく,اقدامات پیشگیرانه,Prevention measures
予防的な問題,"よぼうてきな
もんだい",مسائل پیشگیرانه,
予約,よやく,رزرو,reservetion
予約席,よやくせき,صندلی رزرو شده,
余り,あまり,باقیمانده,
余談,よだん,انحراف,
余裕ある,よゆうある,من توان پرداخت آن را دارم,
余裕がある,よゆうがある,استطاعت داشتن,
与える,あたえる,"دادن ، بخشیدن",
預け入れ,あずけいれ,واریز پول ,
預金通帳,よきんつうちょう,دفترچه حساب سپرده,
幼稚園,ようちえん,مهد کودک,
容積,ようせき,حجم,
揚げ,あげ,سرخ شده در روغن,
揚げる,あげる,سرخ کردن,
揺れる,ゆれる,لرزش (زمین),
様子,ようす,حالت,appearance
洋服タオル,ようふくたおる,حوله لباسی,
溶かす,とかす,ذوب شدن,
溶ける,とける,ذوب شدن,
溶岩,ようがん,گدازه,lava
用い,もちい,استفاده کردن,
用意,ようい,تهیه کردن,
用語,ようご,اصطلاح,
用事,ようじ,کاری برای انجام,
羊,ひつじ,گوسفند,
羊肉,ひつじにく,گوشت گوسفند,
葉の青い,はのあおい,سبزی برگ ها,
葉書,はがき,کارت پستال,
要る,いる,نیاز داشتن,
要件,ようけん,الزامات,
要件定義,ようけんていぎ,تعریف الزامات,
要項,ようこう,الزامات,
要望,ようぼう,درخواست,request
陽気な人,ようきなひと,فرد شاد,
陽性,ようせい,مثبت شدن,positive
養う,やしなう,حمایت غذایی ,provide for
養成校,ようせいこう,آموزشگاه,
養成施設,ようせいしせつ,از مرکز آموزش فارغ التحصیل شدن,
養成施設卒業,"ようせいし
せつそつぎょう",فارغ التحصیلی ازمرکز آموزشی,
抑える,おさえる,سرکوب کردن,
浴びる,あびる,حمام کردن,
浴室,よくしつ,حمام,
翌営業日,よくえいぎょうび,روز کاری بعد,
翌日,よくじつ,روز بعد,
翼,つばさ,بال,wing
来る途中,きたるとちゅう,در راه,
来社面接,らいしゃめんせつ,مصاحبه در محل,
来場する,らいじょうする,بازدید کردن,"attend,come to venue
[for a function]"
頼む,たのむ,درخواست کردن,
雷が鳴った,かみなりがなった,رعد و برق زد,
絡める,からめる,در هم تنیده,
落ち着き,おちつき,خونسرد,
落ちる,おちる,افتادن,
落ち込む,おちこむ,افسردگی,
落ち着いて,おちついて,آرام بودن,be calm
落ち葉,おちば,برگ افتاده,
落下する,らっかする,سقوط کردن,
落第,らくだい,نمره ناموفق,
乱れた,みだれた,بی نظم,
乱数,らんすう,عدد تصادفی,random number
嵐,あらし,طوفان,storm
欄に,らんに,در ستون,
利益,りえき,سود,
利害,りがい,سود و ضرر,interests and disadvantages
利点,りてん,"مزیت ، منفعت",advantage
利用,りよう,استفاده کردن,
利用する,りようする,استفاده کردن,
利用料金,りようりょうきん,هزینه استفاده,
履き替える,はきかえる,تعویض پوشیدنی های کمر به پایین,
履歴,りれき,تاریخچه,
履歴書,りれきしょ,رزومه,
履歴書を書く,りれきしょをかく,رزومه بنویس,
理解する,りかい,درک کردن,
理想的な,りそうてき,ایده آل,
理由,りゆう,دلیل,
裏切る,うらぎる,خیانت کردن,
裏付ける,うらづける,حمایت از صحبت قبلی,
裏返する,うらがえ,زیر و رو کردن,
離れ,はなれ,جدا از هم,
離れている,はれている,جدا شده است,
離れて行く,はなれていく,دور شدن ,
離婚します,りこんします,طلاق,
立ち寄る,たちよる,"سرزدن ، توقف کوتاه کردن",drop by
立ち向かう,たちむかう,مواجهه با,
立ち上がる,たちあがる,برخواستن,
立て替える,たてかえる,به جای من (پرداخت کردن)جایگزینی,
立夏,りっか,آغاز تابستان,
